OBJECTID,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STATE_ID,SUBTYPE,DENOM,MEMBERS,ATTENDANCE,LOC_TYPE,PROT,CATH
1011,10438613,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - HAYWARD 1ST WARD,510-581-6238,2000 HIGHLAND BOULEVARD,NOT AVAILABLE,HAYWARD,CA,94542,1114,ALAMEDA,06001,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-15T00:00:00.000Z,ALT REF,2007-10-15T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,23744328,-122.0567874,37.6621615,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1012,10438701,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CENTRAL PARK WARD,510-792-3470,820 WALNUT AVENUE,NOT AVAILABLE,FREMONT,CA,94536,4202,ALAMEDA,06001,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-15T00:00:00.000Z,ALT REF,2007-10-15T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,24573440,-121.9682543,37.5604461,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1013,10438724,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CLAYTON VALLEY 3RD WARD,925-676-3977,1360 ALBERTA WAY,NOT AVAILABLE,CONCORD,CA,94521,3705,CONTRA COSTA,06013,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-15T00:00:00.000Z,ALT REF,2007-10-15T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,23690566,-121.9659265,37.9509742,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1014,10438793,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - EUGENE 5TH WARD,541-683-2123,1155 PRESIDENT STREET,NOT AVAILABLE,EUGENE,OR,97401,5378,LANE,41039,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,37685187,-123.0550982,44.0750654,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1015,10438885,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SUNNYVALE WARD,408-732-8410,771 WEST FREMONT AVENUE,NOT AVAILABLE,SUNNYVALE,CA,94087,2305,SANTA CLARA,06085,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-15T00:00:00.000Z,ALT REF,2007-10-18T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,24583274,-122.044334,37.3527964,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1016,10438911,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BERKELEY 1ST WARD,510-848-5928,1501 WALNUT STREET,NOT AVAILABLE,BERKELEY,CA,94709,1512,ALAMEDA,06001,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-12T00:00:00.000Z,ALT REF,2007-10-12T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,23682314,-122.267878,37.8801187,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1017,10438926,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - FREMONT (DEAF) BRANCH,510-793-2946,820 WALNUT AVENUE,NOT AVAILABLE,FREMONT,CA,94536,4202,ALAMEDA,06001,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-12T00:00:00.000Z,ALT REF,2007-10-12T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,24573440,-121.9682248,37.5604447,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1018,10438928,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CENTERVILLE WARD,510-797-1200,38134 TEMPLE WAY,NOT AVAILABLE,FREMONT,CA,94536,3950,ALAMEDA,06001,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-15T00:00:00.000Z,ALT REF,2007-10-15T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,23679382,-121.9867665,37.5633564,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1019,10438944,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - EL CAMINO (SPANISH) BRANCH,408-732-1138,771 WEST FREMONT AVENUE,NOT AVAILABLE,SUNNYVALE,CA,94087,2305,SANTA CLARA,06085,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-15T00:00:00.000Z,ALT REF,2007-10-18T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,24583274,-122.0443414,37.3527954,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1020,10761589,SANTA CLARA CHURCH OF CHRIST,541-689-2127,175 SANTA CLARA AVENUE,NOT AVAILABLE,EUGENE,OR,97404,2078,LANE,41039,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2009-03-10T00:00:00.000Z,ALT REF,2009-03-10T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,37683853,-123.1334752,44.1014612,NAVTEQ,2008Q1,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,CHRISTIAN,NOT AVAILABLE,600,NOT AVAILABLE,Y,N
1021,10581790,CENTRAL BAPTIST CHURCH,541-459-4179,816 WEST CENTRAL AVENUE,NOT AVAILABLE,SUTHERLIN,OR,97479,9472,DOUGLAS,41019,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2009-03-06T00:00:00.000Z,ALT REF,2009-03-06T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,87487001,-123.3247111,43.3878893,NAVTEQ,2008Q1,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,BAPT,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1022,10439007,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SACRAMENTO 5TH WARD,916-422-6919,7401 24TH STREET,NOT AVAILABLE,SACRAMENTO,CA,95822,5319,SACRAMENTO,06067,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-15T00:00:00.000Z,ALT REF,2007-10-15T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,24466544,-121.4795851,38.4899697,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1023,10439064,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CLAYTON VALLEY 1ST WARD,925-687-7940,1590 DENKINGER ROAD,NOT AVAILABLE,CONCORD,CA,94521,1834,CONTRA COSTA,06013,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-15T00:00:00.000Z,ALT REF,2007-10-15T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,24572194,-121.9903044,37.9672077,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1024,10439070,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SUNDALE WARD,510-657-1170,42500 GATEWOOD STREET,NOT AVAILABLE,FREMONT,CA,94538,4128,ALAMEDA,06001,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-15T00:00:00.000Z,ALT REF,2007-10-15T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,23653930,-121.9587534,37.5215469,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1025,10439079,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - IRVINGTON WARD,510-656-8754,42500 GATEWOOD STREET,NOT AVAILABLE,FREMONT,CA,94538,4128,ALAMEDA,06001,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-12T00:00:00.000Z,ALT REF,2007-10-12T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,23653930,-121.9587191,37.5215505,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1026,10439102,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - LIAHONA (TONGAN) WARD,916-422-6919,7401 24TH STREET,NOT AVAILABLE,SACRAMENTO,CA,95822,5319,SACRAMENTO,06067,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-15T00:00:00.000Z,ALT REF,2007-10-15T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,24466544,-121.4795946,38.4899781,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1027,10439171,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - GLENMOOR WARD,510-793-8060,38134 TEMPLE WAY,NOT AVAILABLE,FREMONT,CA,94536,3950,ALAMEDA,06001,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-12T00:00:00.000Z,ALT REF,2007-10-12T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,23679382,-121.9868175,37.5633346,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1028,10439227,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CAMELLIA CITY WARD,916-455-7117,1101 51ST STREET,NOT AVAILABLE,SACRAMENTO,CA,95819,3818,SACRAMENTO,06067,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-15T00:00:00.000Z,ALT REF,2007-10-15T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,24459208,-121.4418053,38.5653396,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1029,10439273,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SUTTER WARD,916-451-3851,1101 51ST STREET,NOT AVAILABLE,SACRAMENTO,CA,95819,3818,SACRAMENTO,06067,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-15T00:00:00.000Z,ALT REF,2007-10-15T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,24459208,-121.4418076,38.5653392,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1030,10439289,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SACRAMENTO 2ND WARD,916-392-9361,6925 HAVENHURST DRIVE,NOT AVAILABLE,SACRAMENTO,CA,95831,3040,SACRAMENTO,06067,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-15T00:00:00.000Z,ALT REF,2007-10-15T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,24478396,-121.5184568,38.5003514,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1031,10439303,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SACRAMENTO 1ST WARD,916-392-9361,6925 HAVENHURST DRIVE,NOT AVAILABLE,SACRAMENTO,CA,95831,3040,SACRAMENTO,06067,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-15T00:00:00.000Z,ALT REF,2007-10-15T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,24478396,-121.5184558,38.5003486,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1032,10439310,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CONCORD 1ST WARD,925-682-1511,1590 DENKINGER ROAD,NOT AVAILABLE,CONCORD,CA,94521,1834,CONTRA COSTA,06013,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-15T00:00:00.000Z,ALT REF,2007-10-15T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,24572194,-121.9902703,37.9671424,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1033,10439311,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CONCORD 2ND WARD,925-687-7465,1590 DENKINGER ROAD,NOT AVAILABLE,CONCORD,CA,94521,1834,CONTRA COSTA,06013,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-15T00:00:00.000Z,ALT REF,2007-10-15T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,24572194,-121.990209,37.9671853,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1034,10439395,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CONCORD 1ST WARD,925-682-1511,1590 DENKINGER ROAD,NOT AVAILABLE,CONCORD,CA,94521,1834,CONTRA COSTA,06013,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-12T00:00:00.000Z,ALT REF,2007-10-15T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,24572194,-121.9902412,37.9671607,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1035,10439471,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SPRINGFIELD 1ST WARD,541-343-5325,1155 PRESIDENT STREET,NOT AVAILABLE,EUGENE,OR,97401,5378,LANE,41039,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,37685187,-123.0550983,44.0750619,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1036,10439507,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SANTA CLARA 2ND WARD,541-689-4349,550 NORTH DANEBO AVENUE,NOT AVAILABLE,EUGENE,OR,97402,2264,LANE,41039,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-17T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,37692802,-123.1787651,44.0668452,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
1037,10439563,THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - EUGENE 1ST WARD,541-344-6381,3500 WEST 18TH AVENUE,NOT AVAILABLE,EUGENE,OR,97402,3114,LANE,41039,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,N/A,2007-10-16T00:00:00.000Z,ALT REF,2007-10-16T00:00:00.000Z,MANUAL,"HIGH VALUE OR SYMBOLIC TARGETS; PUBLIC VENUES; PUBLIC VENUES; HOUSES OF WORSHIP",813110,CHURCHES,37688296,-123.1448154,44.040248,NAVTEQ,2006Q4,ONENTITY,N/A,TGS,NOT AVAILABLE,CHRISTIAN,LDS,NOT AVAILABLE,0,NOT AVAILABLE,Y,N
